title,skills,experience,salary_lpa,certifications
Product Lead,"Communication, Leadership, User Research, Product Strategy",2-5 years,9.1,"MBA, PSPO"
Scrum Master,"Mentoring, Agile, Project Management, Communication",2-5 years,14.7,CSPO
Strategy Consultant,"Research, Financial Analysis, Business Strategy, Market Analysis",3-7 years,17.8,"MBA, Strategic Management Cert"
Scrum Master,"Communication, Leadership, Project Management, Mentoring",0-1 year,5.3,CSPO
Management Consultant,"Problem Solving, Communication, Data Analysis, Consulting",2-5 years,14.3,MBA
BI Analyst,"Data Visualization, Excel, Power BI, SQL",0-1 year,3.4,
Engineering Manager,"Python, SQL",2-5 years,16.5,
Data Analyst,"Python, SQL, Power BI, Statistics",1-3 years,5.8,Google Data Analytics
Software Engineer,"REST API, SQL, DSA, OOPs",0-1 year,3.4,
Technical Lead,"SQL, Python",3-7 years,17.3,
Strategy Consultant,"Kubernetes, Consulting, Financial Analysis, Market Analysis",2-5 years,13.3,"MBA, Strategic Management Cert"
Management Consultant,"Azure, Communication, Data Analysis, Leadership",1-3 years,11.4,"MCSE, MBA"
Business Analyst Manager,"Agile, Leadership, Excel, SQL",0-1 year,6.2,"MBA, CBAP"
Scrum Master,"Mentoring, Leadership, Agile, Project Management",3-7 years,19.1,"CSPO, PSM"
DevOps Engineer,"CI/CD, Docker, Git, Kubernetes",2-5 years,7.9,Jenkins
Finance Manager,"Deep Learning, Accounting, Financial Analysis, Budgeting",1-3 years,10.9,"MBA, CA"
Program Manager,"Leadership, Planning, Stakeholder Management, Communication",3-7 years,13.0,"SAFe, MBA"
Strategy Consultant,"Market Analysis, Research, Financial Analysis, Consulting",2-5 years,14.4,Strategic Management Cert
Scrum Master,"Communication, Leadership, Project Management, Mentoring",1-3 years,11.8,"CSPO, PSM"
Cloud Engineer,"GCP, Docker, AWS, Kubernetes",5+ years,21.5,AWS Solutions Architect
Frontend Developer,"React, Vue.js, HTML, CSS",3-7 years,18.2,
Junior Developer,"Python, SQL",0-1 year,4.1,
Data Scientist,"GCP, TensorFlow, SQL, Machine Learning",3-7 years,18.1,"Azure Data Scientist, AWS ML"
Machine Learning Engineer,"GCP, Machine Learning, Python, AWS",1-3 years,6.3,AWS ML
Backend Developer,"Azure, REST API, Node.js, SQL",1-3 years,7.0,AWS Developer
Junior Developer,"SQL, Python",3-7 years,14.3,
Machine Learning Engineer,"Spark, GCP, Python, Deep Learning",2-5 years,14.9,"AWS ML, Azure ML"
Strategy Consultant,"Financial Analysis, Consulting, Research, Market Analysis",1-3 years,9.6,"Strategic Management Cert, MBA"
Product Manager,"Data Analysis, Product Strategy, Market Analysis, User Research",3-7 years,17.8,"MBA, PSPO"
Solutions Architect,"GCP, SQL, Python",0-1 year,5.4,
Frontend Developer,"Deep Learning, Vue.js, React, Angular",1-3 years,6.4,
Project Manager,"Project Management, Leadership, Risk Management, Communication",3-7 years,17.8,"PMP, PRINCE2"
Finance Manager,"AWS, Budgeting, Accounting, Financial Analysis",0-1 year,5.6,"CFA, MBA"
Program Manager,"AWS, Planning, Communication, Stakeholder Management",2-5 years,9.5,"PgMP, MBA"
Business Manager,"Leadership, Analytics, P&L Management, Negotiation",5+ years,28.0,"CHRL, MBA"
Strategy Consultant,"Research, Market Analysis, Business Strategy, Consulting",5+ years,19.4,MBA
BI Analyst,"Power BI, SQL, Excel, Tableau",0-1 year,3.9,
Finance Manager,"Accounting, Financial Analysis, Risk Management, Budgeting",5+ years,18.9,"CFA, CA"
Cloud Engineer,"GCP, AWS, Docker, Kubernetes",2-5 years,12.8,"AZ-305, AWS Solutions Architect"
Business Manager,"AWS, Negotiation, Leadership, Business Strategy",5+ years,29.0,"CHRL, MBA"
Engineering Manager,"Python, SQL",1-3 years,7.6,
Machine Learning Engineer,"TensorFlow, GCP, Python, AWS",1-3 years,5.3,"AWS ML, Azure ML"
Backend Developer,"SQL, Django, REST API, Spring Boot",0-1 year,3.2,Spring Professional
Product Manager,"Azure, Product Strategy, Data Analysis, Market Analysis",2-5 years,15.6,CSPM
Full Stack Developer,"Docker, REST API, SQL, React",2-5 years,12.9,
Product Manager,"Product Strategy, Data Analysis, User Research, Market Analysis",0-1 year,7.7,PSPO
Full Stack Developer,"Kubernetes, Python, React, Docker",5+ years,20.0,
Backend Developer,"Python, Spring Boot, Java, Node.js",0-1 year,4.0,Spring Professional
Frontend Developer,"Machine Learning, React, JavaScript, Vue.js",1-3 years,9.3,
Backend Developer,"Django, Node.js, Python, Spring Boot",2-5 years,11.9,Spring Professional
Business Manager,"Leadership, P&L Management, Analytics, Business Strategy",2-5 years,10.6,"CHRL, MBA"
Data Analyst,"Machine Learning, Statistics, SQL, Excel",1-3 years,8.6,"Google Data Analytics, Power BI Analyst"
BI Analyst,"AWS, Data Visualization, Excel, Power BI",3-7 years,18.5,
Data Engineer,"ETL, Spark, SQL, Hadoop",1-3 years,6.8,
Analytics Consultant,"Python, Statistics, Communication, Power BI",5+ years,18.1,
Product Lead,"Leadership, Data Analysis, Product Strategy, Communication",3-7 years,18.6,"PSPO, MBA"
Solutions Architect,"Spark, SQL, Python",5+ years,19.0,
Product Lead,"Communication, Product Strategy, User Research, Leadership",5+ years,26.0,PSPO
Product Lead,"Kubernetes, Product Strategy, User Research, Data Analysis",5+ years,25.4,MBA
Data Engineer,"Spark, Python, Kafka, SQL",1-3 years,7.5,
Technical Lead,"Python, SQL",3-7 years,15.7,
Solutions Architect,"Python, SQL",5+ years,18.6,
Engineering Manager,"GCP, Python, SQL",2-5 years,12.9,
Project Manager,"Leadership, Risk Management, Project Management, Communication",5+ years,28.3,PRINCE2
Senior Engineer,"Python, SQL",2-5 years,10.7,
Finance Manager,"Risk Management, Financial Analysis, Accounting, Excel",5+ years,18.5,MBA
DevOps Engineer,"Linux, Git, AWS, Jenkins",5+ years,29.3,"AWS DevOps, Jenkins"
Backend Developer,"Python, SQL, Django, Spring Boot",1-3 years,6.5,"Spring Professional, AWS Developer"
Full Stack Developer,"REST API, Docker, JavaScript, React",2-5 years,13.6,
Engineering Manager,"SQL, Python",2-5 years,12.9,
Program Manager,"Stakeholder Management, Leadership, Planning, Program Management",3-7 years,20.3,SAFe
Engineering Manager,"Kubernetes, Python, SQL",2-5 years,16.7,
Scrum Master,"Mentoring, Agile, Leadership, Communication",0-1 year,7.2,CSPO
Software Engineer,"Azure, DSA, SQL, Java",2-5 years,9.8,
Full Stack Developer,"Python, SQL, REST API, Docker",1-3 years,8.5,
Analytics Consultant,"Deep Learning, Power BI, SQL, Statistics",3-7 years,16.4,
Business Manager,"Leadership, Negotiation, Business Strategy, Analytics",1-3 years,9.2,"MBA, CHRL"
Machine Learning Engineer,"Python, TensorFlow, Deep Learning, AWS",2-5 years,14.2,"TensorFlow Cert, AWS ML"
Business Analyst Manager,"Excel, Agile, SQL, Leadership",2-5 years,11.2,MBA
Project Manager,"Leadership, Risk Management, Project Management, Communication",3-7 years,20.0,"CAPM, MBA"
Engineering Manager,"Spark, SQL, Python",5+ years,30.8,
Agile Coach,"AWS, Process Optimization, Agile, Leadership",2-5 years,12.6,"PMC, CSM"
Data Scientist,"Machine Learning, TensorFlow, Deep Learning, SQL",0-1 year,5.4,"Azure Data Scientist, AWS ML"
Strategy Consultant,"Azure, Financial Analysis, Business Strategy, Consulting",0-1 year,5.5,"Strategic Management Cert, MBA"
Software Engineer,"SQL, Microservices, DSA, OOPs",1-3 years,10.0,
Cloud Engineer,"AWS, GCP, Docker, Kubernetes",0-1 year,5.8,GCP Associate
Finance Manager,"Risk Management, Budgeting, Excel, Financial Analysis",0-1 year,7.3,"MBA, CFA"
Cloud Engineer,"GCP, Docker, AWS, Kubernetes",3-7 years,16.9,"GCP Associate, AWS Solutions Architect"
Data Engineer,"Kubernetes, Spark, Hadoop, SQL",2-5 years,8.9,
Solutions Architect,"SQL, Python",3-7 years,14.4,
Analytics Consultant,"Deep Learning, Statistics, Power BI, SQL",3-7 years,19.5,
Program Manager,"Kubernetes, Planning, Communication, Leadership",3-7 years,13.4,MBA
Machine Learning Engineer,"AWS, TensorFlow, Machine Learning, GCP",5+ years,20.3,"AWS ML, Azure ML"
Data Analyst,"Statistics, Excel, Power BI, Python",2-5 years,14.9,Google Data Analytics
Senior Engineer,"Kubernetes, SQL, Python",3-7 years,20.1,
DevOps Engineer,"Kubernetes, Docker, AWS, Git",1-3 years,7.7,Kubernetes (CKA)
Business Manager,"P&L Management, Business Strategy, Leadership, Analytics",0-1 year,7.2,"MBA, CHRL"
Finance Manager,"Financial Analysis, Excel, Accounting, Risk Management",3-7 years,14.5,"MBA, CFA"
Cloud Engineer,"Kubernetes, AWS, Azure, Terraform",0-1 year,3.2,"AWS Solutions Architect, GCP Associate"
Scrum Master,"Deep Learning, Project Management, Communication, Agile",2-5 years,16.6,CSPO
Junior Developer,"SQL, Python",0-1 year,3.7,
Data Scientist,"Kubernetes, Machine Learning, SQL, Python",2-5 years,13.9,"GCP ML Engineer, Azure Data Scientist"
Product Manager,"Machine Learning, Market Analysis, Data Analysis, User Research",1-3 years,9.9,"CSPM, MBA"
Cloud Engineer,"Docker, Azure, AWS, Terraform",3-7 years,14.1,"GCP Associate, AZ-305"
Management Consultant,"Consulting, Leadership, Problem Solving, Communication",2-5 years,17.0,"MCSE, MBA"
Business Analyst,"SQL, Power BI, Excel, Communication",0-1 year,5.2,
Business Manager,"Negotiation, Leadership, Analytics, P&L Management",1-3 years,8.6,"CHRL, MBA"
Full Stack Developer,"JavaScript, Python, REST API, SQL",1-3 years,6.3,
Cloud Engineer,"GCP, Docker, Terraform, AWS",1-3 years,5.2,AZ-305
Senior Engineer,"SQL, Python",2-5 years,11.0,
Full Stack Developer,"SQL, React, REST API, JavaScript",3-7 years,14.6,
Software Engineer,"OOPs, SQL, Microservices, REST API",2-5 years,7.3,
Backend Developer,"Spring Boot, Django, REST API, Java",1-3 years,7.2,"Spring Professional, AWS Developer"
Solutions Architect,"SQL, Python",2-5 years,10.9,
Cloud Engineer,"GCP, AWS, Azure, Docker",1-3 years,7.2,"GCP Associate, AWS Solutions Architect"
Business Analyst Manager,"AWS, SQL, Agile, Leadership",1-3 years,9.5,"CCBA, CBAP"
Finance Manager,"Financial Analysis, Risk Management, Excel, Accounting",0-1 year,5.5,CFA
Machine Learning Engineer,"Spark, TensorFlow, GCP, AWS",5+ years,17.2,Azure ML
Business Manager,"Leadership, P&L Management, Negotiation, Analytics",1-3 years,7.0,CHRL
Engineering Manager,"Python, SQL",0-1 year,7.5,
Strategy Consultant,"Research, Market Analysis, Financial Analysis, Consulting",5+ years,30.7,Strategic Management Cert
DevOps Engineer,"Kubernetes, AWS, Docker, Linux",3-7 years,19.5,Kubernetes (CKA)
Program Manager,"Program Management, Communication, Planning, Leadership",1-3 years,11.0,MBA
Machine Learning Engineer,"AWS, Deep Learning, Machine Learning, TensorFlow",0-1 year,5.9,AWS ML
Business Analyst Manager,"Power BI, Agile, Excel, SQL",0-1 year,5.2,"MBA, CBAP"
Business Manager,"Negotiation, Analytics, P&L Management, Business Strategy",1-3 years,8.9,MBA
Data Engineer,"Kubernetes, SQL, ETL, Spark",0-1 year,5.4,
Engineering Manager,"Python, SQL",0-1 year,5.5,
Program Manager,"Leadership, Stakeholder Management, Program Management, Communication",0-1 year,7.7,"SAFe, MBA"
Management Consultant,"Consulting, Leadership, Communication, Data Analysis",2-5 years,17.0,"MCSE, MBA"
Machine Learning Engineer,"Deep Learning, Python, TensorFlow, AWS",5+ years,23.7,AWS ML
Data Engineer,"AWS, Python, Kafka, ETL",2-5 years,12.3,
Scrum Master,"Kubernetes, Communication, Project Management, Leadership",0-1 year,6.2,PSM
BI Analyst,"SQL, Power BI, Tableau, Data Visualization",0-1 year,4.4,
Analytics Consultant,"Statistics, Power BI, SQL, Python",3-7 years,12.4,
BI Analyst,"Excel, Power BI, SQL, Tableau",5+ years,18.7,
BI Analyst,"Machine Learning, Power BI, Data Visualization, Tableau",1-3 years,5.5,
Program Manager,"Leadership, Communication, Program Management, Stakeholder Management",2-5 years,13.8,PgMP
Product Lead,"Product Strategy, User Research, Leadership, Data Analysis",1-3 years,11.0,"PSPO, MBA"
Analytics Consultant,"Statistics, Power BI, Communication, SQL",0-1 year,7.2,
Product Manager,"User Research, Leadership, Product Strategy, Market Analysis",2-5 years,14.8,"CSPM, MBA"
Engineering Manager,"Python, SQL",3-7 years,12.5,
DevOps Engineer,"AWS, Git, CI/CD, Linux",1-3 years,8.8,"AWS DevOps, Jenkins"
DevOps Engineer,"AWS, CI/CD, Kubernetes, Git",3-7 years,16.3,"Kubernetes (CKA), Jenkins"
Backend Developer,"Node.js, SQL, Java, Django",5+ years,22.4,"Spring Professional, AWS Developer"
Business Analyst Manager,"SQL, Agile, Leadership, Power BI",5+ years,30.8,"CCBA, MBA"
Strategy Consultant,"GCP, Consulting, Research, Market Analysis",2-5 years,10.6,MBA
Data Scientist,"Machine Learning, Deep Learning, Python, Statistics",2-5 years,8.8,AWS ML
Frontend Developer,"Vue.js, JavaScript, CSS, React",1-3 years,7.3,
Program Manager,"Communication, Program Management, Leadership, Stakeholder Management",0-1 year,6.6,"MBA, SAFe"
Solutions Architect,"Deep Learning, SQL, Python",5+ years,23.9,
Product Manager,"Kubernetes, Data Analysis, Leadership, Market Analysis",1-3 years,9.5,"PSPO, CSPM"
Frontend Developer,"Kubernetes, Angular, JavaScript, HTML",2-5 years,12.4,
Software Engineer,"GCP, Microservices, DSA, REST API",3-7 years,20.3,
Project Manager,"Machine Learning, Leadership, Risk Management, Project Management",2-5 years,10.7,PMP
Backend Developer,"Spring Boot, Django, Java, Node.js",5+ years,22.4,Spring Professional
Management Consultant,"Kubernetes, Consulting, Communication, Data Analysis",1-3 years,11.0,MBA
Technical Lead,"SQL, Python",1-3 years,9.6,
Engineering Manager,"Python, SQL",5+ years,29.7,
Backend Developer,"SQL, Django, Node.js, Java",5+ years,17.4,Spring Professional
Full Stack Developer,"GCP, Docker, React, REST API",3-7 years,12.8,
Data Scientist,"TensorFlow, SQL, Statistics, Deep Learning",3-7 years,13.8,GCP ML Engineer
Management Consultant,"Communication, Consulting, Data Analysis, Leadership",2-5 years,13.5,MBA
Technical Lead,"SQL, Python",5+ years,25.4,
BI Analyst,"Tableau, SQL, Excel, Data Visualization",5+ years,21.6,
Full Stack Developer,"Python, REST API, JavaScript, React",3-7 years,19.3,
Full Stack Developer,"React, REST API, Docker, JavaScript",2-5 years,10.7,
Machine Learning Engineer,"Machine Learning, GCP, TensorFlow, Python",3-7 years,16.3,AWS ML
Agile Coach,"Leadership, Process Optimization, Agile, Coaching",3-7 years,21.5,"CSM, PMC"
Program Manager,"Program Management, Planning, Leadership, Communication",5+ years,19.3,"PgMP, MBA"
Data Scientist,"SQL, Python, Machine Learning, Statistics",0-1 year,5.1,GCP ML Engineer
Program Manager,"Program Management, Planning, Leadership, Communication",3-7 years,18.7,SAFe
Data Analyst,"GCP, Excel, Tableau, SQL",5+ years,29.3,"Power BI Analyst, Google Data Analytics"
Senior Engineer,"SQL, Python",5+ years,19.5,
Business Manager,"P&L Management, Negotiation, Business Strategy, Leadership",0-1 year,5.9,"MBA, CHRL"
Scrum Master,"Agile, Mentoring, Leadership, Project Management",1-3 years,7.9,"CSPO, PSM"
Management Consultant,"GCP, Leadership, Consulting, Communication",2-5 years,11.7,"MBA, MCSE"
Strategy Consultant,"Research, Consulting, Financial Analysis, Market Analysis",2-5 years,10.3,Strategic Management Cert
Product Manager,"Leadership, Data Analysis, User Research, Product Strategy",5+ years,18.0,PSPO
Software Engineer,"SQL, Java, Microservices, OOPs",3-7 years,12.3,
Finance Manager,"Financial Analysis, Accounting, Budgeting, Risk Management",5+ years,25.9,MBA
Operations Manager,"Supply Chain, Process Optimization, Operations, Leadership",5+ years,19.2,APICS
Data Analyst,"Excel, SQL, Power BI, Python",2-5 years,11.4,"Tableau Specialist, Google Data Analytics"
Agile Coach,"Agile, Process Optimization, Coaching, Leadership",3-7 years,19.4,CSM
Data Scientist,"Azure, Deep Learning, SQL, Statistics",0-1 year,6.3,GCP ML Engineer
Analytics Consultant,"Communication, Python, Statistics, SQL",3-7 years,19.5,
Management Consultant,"Data Analysis, Problem Solving, Consulting, Communication",3-7 years,15.8,MBA
Product Lead,"Communication, User Research, Data Analysis, Product Strategy",0-1 year,5.0,MBA
Agile Coach,"Agile, Process Optimization, Coaching, Training",5+ years,24.0,"CAL, CSM"
Data Scientist,"Deep Learning, Machine Learning, Statistics, TensorFlow",0-1 year,4.3,Azure Data Scientist
Technical Lead,"Kubernetes, SQL, Python",5+ years,16.0,
Strategy Consultant,"Research, Financial Analysis, Consulting, Business Strategy",3-7 years,13.5,MBA
Product Manager,"User Research, Market Analysis, Product Strategy, Leadership",2-5 years,15.3,PSPO
Data Engineer,"AWS, ETL, SQL, Python",5+ years,22.1,
Management Consultant,"Leadership, Consulting, Data Analysis, Communication",0-1 year,5.7,MBA
Management Consultant,"Problem Solving, Leadership, Communication, Consulting",5+ years,30.3,MBA
Senior Engineer,"SQL, Python",1-3 years,5.7,
Cloud Engineer,"AWS, Docker, Azure, GCP",5+ years,17.8,"AZ-305, AWS Solutions Architect"
Program Manager,"Leadership, Stakeholder Management, Planning, Program Management",3-7 years,20.9,"SAFe, MBA"
Senior Engineer,"SQL, Python",3-7 years,14.4,
Strategy Consultant,"Kubernetes, Financial Analysis, Research, Consulting",3-7 years,14.1,Strategic Management Cert
Machine Learning Engineer,"GCP, Python, Machine Learning, Deep Learning",1-3 years,6.1,Azure ML
Data Analyst,"Statistics, Python, Tableau, Power BI",0-1 year,4.9,Tableau Specialist
Agile Coach,"Process Optimization, Training, Leadership, Coaching",3-7 years,17.0,CAL
Data Analyst,"Python, Power BI, Tableau, Excel",2-5 years,13.7,Google Data Analytics
Frontend Developer,"Angular, HTML, JavaScript, CSS",0-1 year,5.9,
Agile Coach,"Training, Agile, Coaching, Process Optimization",1-3 years,8.3,CAL
Data Scientist,"Statistics, Deep Learning, Python, TensorFlow",0-1 year,3.0,GCP ML Engineer
Management Consultant,"Problem Solving, Data Analysis, Communication, Leadership",1-3 years,8.6,MCSE
Operations Manager,"Analytics, Supply Chain, Operations, Process Optimization",0-1 year,5.8,Six Sigma
Scrum Master,"Mentoring, Agile, Communication, Leadership",0-1 year,6.2,"CSPO, CSM"
Analytics Consultant,"Python, Statistics, Communication, Power BI",2-5 years,14.5,
Technical Lead,"SQL, Python",3-7 years,14.8,
Product Manager,"Market Analysis, Data Analysis, Product Strategy, User Research",2-5 years,13.5,"PSPO, MBA"
DevOps Engineer,"CI/CD, AWS, Linux, Docker",3-7 years,16.5,AWS DevOps
Data Engineer,"Kafka, SQL, ETL, Hadoop",2-5 years,10.3,
Backend Developer,"Machine Learning, Python, SQL, Django",0-1 year,5.9,Spring Professional
Management Consultant,"Azure, Data Analysis, Problem Solving, Communication",3-7 years,17.4,"MBA, MCSE"
Solutions Architect,"Python, SQL",0-1 year,5.5,
Finance Manager,"Kubernetes, Accounting, Financial Analysis, Budgeting",3-7 years,18.4,"CFA, CA"
BI Analyst,"Excel, SQL, Power BI, Tableau",3-7 years,15.3,
Strategy Consultant,"Business Strategy, Research, Market Analysis, Consulting",0-1 year,6.3,MBA
Management Consultant,"Communication, Problem Solving, Data Analysis, Consulting",2-5 years,16.6,"MCSE, MBA"
Management Consultant,"Leadership, Communication, Consulting, Data Analysis",5+ years,20.6,MCSE
Junior Developer,"Python, SQL",0-1 year,3.9,
Agile Coach,"Agile, Training, Coaching, Leadership",5+ years,28.2,CSM
BI Analyst,"Spark, Excel, Data Visualization, Power BI",0-1 year,4.4,
Data Engineer,"Hadoop, Spark, SQL, Python",1-3 years,6.5,
Management Consultant,"Consulting, Problem Solving, Communication, Leadership",2-5 years,15.9,MCSE
Machine Learning Engineer,"Azure, Deep Learning, AWS, GCP",0-1 year,6.4,"AWS ML, Azure ML"
Junior Developer,"SQL, Python",5+ years,21.6,
Finance Manager,"Machine Learning, Risk Management, Budgeting, Financial Analysis",1-3 years,11.2,CA
Analytics Consultant,"SQL, Power BI, Statistics, Communication",5+ years,17.1,
Senior Engineer,"Python, SQL",1-3 years,9.0,
Project Manager,"Leadership, Project Management, Communication, Agile",2-5 years,14.3,MBA
Product Manager,"Leadership, Data Analysis, User Research, Product Strategy",2-5 years,12.9,"MBA, CSPM"
Operations Manager,"Operations, Process Optimization, Supply Chain, Analytics",2-5 years,10.8,"Six Sigma, APICS"
Scrum Master,"Leadership, Project Management, Agile, Mentoring",2-5 years,9.7,CSM
Data Analyst,"SQL, Excel, Python, Power BI",2-5 years,9.6,"Tableau Specialist, Power BI Analyst"
Agile Coach,"Coaching, Process Optimization, Training, Leadership",5+ years,31.3,"PMC, CSM"
Program Manager,"Machine Learning, Program Management, Planning, Leadership",0-1 year,7.2,SAFe
Solutions Architect,"Machine Learning, SQL, Python",2-5 years,7.5,
Data Engineer,"ETL, Spark, AWS, Kafka",3-7 years,10.0,
Senior Engineer,"SQL, Python",1-3 years,9.8,
Project Manager,"Kubernetes, Risk Management, Agile, Communication",2-5 years,16.5,"PRINCE2, MBA"
Technical Lead,"Spark, SQL, Python",0-1 year,6.4,
Machine Learning Engineer,"Machine Learning, Python, AWS, Deep Learning",2-5 years,8.3,AWS ML
Product Manager,"Data Analysis, User Research, Market Analysis, Leadership",1-3 years,10.3,"CSPM, PSPO"
Software Engineer,"AWS, OOPs, DSA, Java",1-3 years,8.0,
Analytics Consultant,"Spark, Python, Communication, SQL",2-5 years,13.9,
Technical Lead,"SQL, Python",2-5 years,12.2,
Frontend Developer,"AWS, Angular, HTML, Vue.js",3-7 years,15.0,
Finance Manager,"Financial Analysis, Accounting, Budgeting, Excel",1-3 years,7.8,"CFA, MBA"
Frontend Developer,"Vue.js, JavaScript, CSS, React",3-7 years,17.1,
Finance Manager,"GCP, Budgeting, Risk Management, Financial Analysis",2-5 years,16.5,"CFA, CA"
Project Manager,"Leadership, Project Management, Risk Management, Agile",0-1 year,6.8,CAPM
Strategy Consultant,"Consulting, Research, Business Strategy, Financial Analysis",1-3 years,8.8,"MBA, Strategic Management Cert"
Operations Manager,"Supply Chain, Analytics, Leadership, Operations",0-1 year,7.7,"Six Sigma, APICS"
Cloud Engineer,"Azure, Docker, Kubernetes, AWS",0-1 year,5.9,"AWS Solutions Architect, GCP Associate"
Strategy Consultant,"Financial Analysis, Business Strategy, Consulting, Market Analysis",0-1 year,6.2,Strategic Management Cert
Finance Manager,"AWS, Financial Analysis, Budgeting, Excel",1-3 years,9.1,"CA, MBA"
Strategy Consultant,"Market Analysis, Business Strategy, Research, Financial Analysis",3-7 years,15.6,Strategic Management Cert
Product Lead,"Communication, Product Strategy, User Research, Leadership",2-5 years,12.0,PSPO
Machine Learning Engineer,"Deep Learning, AWS, Python, GCP",3-7 years,16.1,"AWS ML, Azure ML"
Finance Manager,"Excel, Risk Management, Budgeting, Accounting",1-3 years,7.9,CFA
Product Lead,"Communication, Product Strategy, Leadership, Data Analysis",2-5 years,12.1,MBA
Management Consultant,"Deep Learning, Communication, Problem Solving, Leadership",0-1 year,5.8,MCSE
Data Analyst,"Python, Power BI, SQL, Excel",0-1 year,3.0,"Tableau Specialist, Google Data Analytics"
Scrum Master,"Machine Learning, Communication, Leadership, Project Management",0-1 year,6.9,PSM
Solutions Architect,"Python, SQL",5+ years,25.9,
Management Consultant,"GCP, Leadership, Consulting, Data Analysis",3-7 years,15.4,"MCSE, MBA"
Agile Coach,"Training, Coaching, Leadership, Process Optimization",1-3 years,9.0,CSM
Senior Engineer,"SQL, Python",1-3 years,7.5,
Cloud Engineer,"AWS, Azure, Docker, Terraform",1-3 years,9.4,GCP Associate
Agile Coach,"Agile, Leadership, Coaching, Training",0-1 year,6.6,PMC
Project Manager,"Azure, Communication, Project Management, Risk Management",5+ years,26.8,"PMP, PRINCE2"
Management Consultant,"Deep Learning, Consulting, Leadership, Data Analysis",1-3 years,9.6,"MCSE, MBA"
Operations Manager,"Analytics, Process Optimization, Operations, Leadership",5+ years,25.8,MBA
Data Scientist,"AWS, Machine Learning, Statistics, Python",1-3 years,7.3,"AWS ML, GCP ML Engineer"
Management Consultant,"Machine Learning, Consulting, Data Analysis, Problem Solving",0-1 year,5.9,MCSE
Full Stack Developer,"React, Docker, Python, REST API",2-5 years,7.7,
Operations Manager,"Supply Chain, Leadership, Analytics, Operations",1-3 years,9.8,APICS
Program Manager,"Program Management, Communication, Planning, Leadership",0-1 year,5.4,"SAFe, MBA"
Product Lead,"Communication, Leadership, User Research, Product Strategy",0-1 year,7.2,"PSPO, MBA"
Analytics Consultant,"Statistics, Power BI, SQL, Python",5+ years,25.2,
Business Analyst,"Excel, SQL, Power BI, Communication",0-1 year,4.7,
Business Analyst Manager,"Excel, Agile, Power BI, SQL",5+ years,27.8,CCBA
Backend Developer,"REST API, Java, Python, SQL",0-1 year,5.3,"AWS Developer, Spring Professional"
Finance Manager,"Budgeting, Risk Management, Excel, Accounting",1-3 years,8.7,CA
Data Scientist,"Deep Learning, Statistics, SQL, TensorFlow",1-3 years,8.3,GCP ML Engineer
Business Analyst,"Excel, SQL, Power BI, Tableau",2-5 years,9.4,
Operations Manager,"Operations, Process Optimization, Analytics, Leadership",0-1 year,7.8,Six Sigma
Data Analyst,"Azure, Excel, Python, Statistics",5+ years,15.8,Power BI Analyst
Agile Coach,"Training, Coaching, Process Optimization, Leadership",3-7 years,17.9,"CSM, PMC"
Backend Developer,"Django, Spring Boot, Node.js, REST API",3-7 years,15.3,"AWS Developer, Spring Professional"
DevOps Engineer,"Docker, Jenkins, Git, CI/CD",1-3 years,9.9,AWS DevOps
Product Lead,"User Research, Product Strategy, Communication, Leadership",3-7 years,12.9,PSPO
BI Analyst,"Excel, Data Visualization, Power BI, SQL",2-5 years,10.9,
Junior Developer,"SQL, Python",2-5 years,9.8,
Strategy Consultant,"Research, Financial Analysis, Consulting, Business Strategy",0-1 year,7.4,"Strategic Management Cert, MBA"
Business Analyst,"Power BI, Tableau, Excel, Communication",1-3 years,9.8,
Analytics Consultant,"Kubernetes, Power BI, SQL, Statistics",1-3 years,12.5,
Operations Manager,"Operations, Leadership, Process Optimization, Analytics",1-3 years,11.4,Six Sigma
Management Consultant,"Azure, Leadership, Problem Solving, Data Analysis",0-1 year,8.2,MBA
Software Engineer,"OOPs, Java, DSA, SQL",1-3 years,9.0,
Strategy Consultant,"Azure, Market Analysis, Financial Analysis, Consulting",1-3 years,10.2,"Strategic Management Cert, MBA"
Data Analyst,"GCP, Python, SQL, Tableau",5+ years,17.9,"Tableau Specialist, Google Data Analytics"
Program Manager,"Stakeholder Management, Program Management, Planning, Communication",1-3 years,10.1,SAFe
Program Manager,"GCP, Communication, Program Management, Stakeholder Management",1-3 years,9.0,PgMP
Business Analyst Manager,"Power BI, Excel, Leadership, Agile",0-1 year,7.8,"CBAP, MBA"
DevOps Engineer,"Linux, AWS, Jenkins, Git",0-1 year,4.6,"AWS DevOps, Jenkins"
Agile Coach,"Leadership, Process Optimization, Agile, Training",5+ years,19.3,CAL
Data Scientist,"SQL, Machine Learning, Statistics, Deep Learning",2-5 years,7.1,"Azure Data Scientist, GCP ML Engineer"
Junior Developer,"Python, SQL",5+ years,21.5,
Machine Learning Engineer,"Machine Learning, Deep Learning, AWS, Python",0-1 year,5.1,AWS ML
Full Stack Developer,"Python, React, JavaScript, SQL",5+ years,27.4,
Engineering Manager,"Deep Learning, SQL, Python",5+ years,31.5,
Agile Coach,"Spark, Coaching, Training, Leadership",1-3 years,9.7,CAL
Project Manager,"Azure, Project Management, Leadership, Communication",5+ years,30.3,"PRINCE2, PMP"
Finance Manager,"Risk Management, Accounting, Financial Analysis, Excel",5+ years,31.7,MBA
Software Engineer,"Spark, SQL, Microservices, REST API",2-5 years,13.0,
